No,Title,Created_date,Author,Url,Article,Category
1,4 ways to get high-paying writing work do not self-publish.,2/11/2019,Kayla Lee,https://medium.com/writing-cooperative/4-ways-to-get-high-paying-writing-work-dont-self-publish-badfa6b07ae2,"Most creatives do not understand one, simple truth:
Turning what you love into a business involves being good at business.
I write full-time for a living, a luxury I enjoy because I am just as much a business person as a writer. While I learned The Elements of Style, I also learned Million Dollar Consulting (not affiliate links). My business acumen said do not listen to the ""pros"" selling overnight self-publishing success. Not that I do not want to self-publish and I am definitely not condemning it but, without a high number of followers (many thousands) or email subscribers (many thousands), self-publishing is not likely to earn a livable wage. You can build a following and email list, and then self-publish profitably. But the likelihood that you will make money from your first book (immense amount of effort) is extremely low. Even if you are a best-seller in some random category no one has ever heard of, people do not search for keywords they have never heard of. You could invest money into ads for your self-published work, but then, you would likely be far in the red before you start to make money. You would be lucky to break even. Or, you might write a dynamite book on your first try (highly unlikely) and sell the shit out of it without any marketing effort whatsoever (highly unlikely). I asked myself, would a smart business person gamble all that writing time and effort on something so unlikely to pay off?
A better way to make money writing
Here are a few mediums I have used to generate a significant income from my writing. I write or ghostwrite ebooks, blogs, articles, and emails for businesses. I write for IT/tech companies, but you can choose any niche that interests you. I have friends that make money writing for lifestyle companies, yoga studios, medical journals, finance firms, law firms, women's rights organs, etc. I built a six-figure writing company with zero professional writing experience, zero followers, and zero people on an email list using the tools I will share here. I have no affiliation with any of these tools.

LinkedIn Profinder
LinkedIn Profinder is one of my favorite tools for finding quality work. You can find decent-paying gigs with small/medium businesses here. It works by creating a profile and entering the type of work you are looking for (content writing, ghostwriting, etc.). Then, when companies create proposal requests for those types of work, you are notified and can apply for the gig. It is a passive medium, meaning, you wait for requests to come to you. The money I made from LinkedIn Profinder One-off writing/email project for $3k.
Contena
Contena is a job board that aggregates all the writing jobs posted on the web and puts them into one place. You can create alerts for yourself for specific job types like how well they pay, what niche, etc. The money I made from Contena Client 1: more than 0.25 USD per word for more than 6 months. Multiple articles per month. Total earnings are about $10k. Client 2: more than 0.25 USD per word for a few projects sporadically for a year. Total earnings are about $14k.
Sending your own pitch 2X per week
This is by far the best way to make money as a writer. Any time a company sends out an RFP or posts to a job board, thousands of writers see it and apply. If you send a pitch to a company, you are likely the only person pitching. There is much less competition. You need to pitch in bulk. Make it a goal to pitch at least 100 companies per week. Ask to write for their blog. Find companies in industries you are interested in writing about (i.e., fitness/lifestyle, tech startups, women's health, etc.). I wrote this article for salespeople, but writers can use it to learn to send pitches in bulk. The money I made from sending a pitch to 7 regular clients buying multiple articles/ebooks per month. Monthly income varies from $3-6k depending on the number of projects. 1 retainer client at $2k/mo.
Get the cheapest WeWork (or other coworking space) membership
If you join WeWork for $45/month, you have access to their online platform. This platform is full of business connections and leads. I got more clients out of the platform than I got by working in the space. The money I made from WeWork app Retainer for email writing and marketing. Total yearly earnings are about $20k. I have had this client for more than 2 years.If you want to write for a living
You need to be open minded about the types of work you can do to earn a decent wage.

A lot of writers feel bummed when they read about writers who are not as skilled making lots of money. But, if you are a highly skilled writer, you should be gleeful that other, less skilled writers make more than you. That only means you can earn much more.",Kesehatan Mental
2,What Can I Do Without an Eating Disorder?,5/11/2023,Mary-Elizabeth Schurrer,https://www.healthyplace.com/blogs/survivinged/2023/5/what-can-i-do-without-an-eating-disorder,"For most of my life, I was plagued by the question, ""What will I do without an eating disorder?"" It felt unattainable even to imagine an alternate reality in which those obsessions with food, exercise, or body image weren't constantly humming at the forefront of my brain. Each waking moment was a conquest to burn calories or simply avoid them altogether. At the time, it seemed euphoric, but now I can see just how bleak of an existence I forced myself to live. So these days, I ask another question: ""What can I do without an eating disorder?""
Reframing 'What Can I Do Without an Eating Disorder?'
""What will I do?"" is a fear-based question. It makes the assumption that my core human identity revolves around an eating disorder and that I will cease to matter in its absence. I used to believe this legitimately. I built my definition of success and self-worth on how staunchly I maintained the behaviors that were killing me. I ruled this microcosm with an iron fist of control and containment or maybe it ruled me. Either way, I would not allow myself to entertain the notion that life could be meant for something more. Talk about a hopeless situation.
But this is what I love about eating disorder recovery: It's an invitation to rewrite the script I used to follow and reframe the question I used to agonize over. What can I do without an eating disorder? That line of inquiry is more expansive. It creates room for both possibility and curiosity to flourish. It asks me to dream of a future in which the number on a scale or the metrics on a fitness tracker cannot dictate my value. Most of all, it has me wondering, ""What sort of impact or meaning could I tap into if my time wasn't consumed with these eating disorder behaviors?""
There's so much to think about, to learn, to discover, to experiment with, to be interested in.
I Want to Focus on What I Can Do Without an Eating Disorder
I think fear is the enemy of healing. Therefore, I no longer want to fixate on the question, ""What will I do without an eating disorder?"" I am worth more than the calories I burn, the food I consume, the miles I run, or the pounds I weigh. I have more to offer this world than how successful I am at abusing myself. I want to read books, write poetry, or create artwork instead of exercising for hours on end. I want to volunteer time and energy to causes I feel passionate about instead of wasting those resources on compulsive eating disorder rituals.
I want to bask in the colors of a sunset and savor the taste of nourishment on my lips. I want to invest in relationships that matter so much more than a slew of unhealthy habits. I want to be curious, present, and fully alive. So I'll continue asking, ""What can I do without an eating disorder?"" If it takes me a lifetime to find the answer—well, mission accepted. Recovery has no endpoint. 
",Kesehatan Mental
3,Gen Z Is More Aware of Mental Health Than Other Generations,5/10/2023,Mahevash Shaikh,https://www.healthyplace.com/blogs/mentalhealthforthedigitalgeneration/2023/5/gen-z-is-more-aware-of-mental-health-than-other-generations,"	Generation Z (or Gen Z or Zoomers), the generation that succeeds Generation Y (or Gen Y or millennials), is currently more aware of mental health than any other generation. While this sounds like good news, there are negative aspects as well. Let's take a look at Generation Z's relationship to mental health.
Who Is Generation Z?
According to VeryWellMind, 
""Generation Z refers to the generation born roughly between the years 1997 and 2012. They are the first generation to be raised completely with the Internet and smartphones, and have grown up with a very different experience of the world than previous generations. They have grown up in tumultuous times that have included multiple stressors such as 9/11, school shootings, climate change, and political unrest.""1
Gen Z and Mental Health Awareness
In my opinion, millennials helped pave the way for Gen Z's positive attitude toward mental health. Gen Y has contributed a lot towards normalizing conversations around mental health, particularly on social media. Gen Z carried the torch forward by communicating about mental health issues in the physical world. The catch is that Gen Z has a long list of reasons to be mentally unwell. Global management consulting firm McKinsey & Company says: 
""A series of consumer surveys and reports conducted by McKinsey indicate stark differences among generations, with Gen Z reporting the least positive life outlook, including lower levels of emotional and social well-being than older generations. One in four Gen Z respondents reported feeling more emotionally distressed (25 percent), almost double the level reported by millennial and Gen X respondents (13 percent each). And the Covid-19 pandemic has only amplified this challenge.""2
Gen Z Is Not Seeking Professional Mental Health Help
With increased mental health awareness, one may conclude that Zoomers are going to therapy more than any other generation. Unfortunately, due to issues like lack of access to behavioral healthcare and poverty, I have seen Zoomers turning to social media apps like TikTok and Reddit for peer support. They are following therapists on Instagram for mental health support instead of consulting them. Research by McKinsey & Company says:
""Almost one in four Gen Zers reported that it is extremely or very challenging to get help during a behavioral-health crisis. This lack of access is very concerning for a generation two to three times more likely to report seeking treatment in the past 12 months for suicidal ideation or attempted suicide, than any other generation.""2
How Can Older Generations Help? 
Many of the issues that Gen Z is dealing with are systemic and cannot be changed by the general public. However, there are two things we can do as individuals to help the mental health of Gen Z.
First, as parents, teachers, older siblings, and friends, we can spend quality time with Zoomers. We must listen to them without any bias or judgment. For example, if a teenager tells you they have depression, do not mock or downplay their self-diagnosis. Keep an open mind, hear them out, and ask them how you can help.
Second, while Gen Z uses social media to stay connected with friends and cope with mental health issues, too much screen time causes and worsens mental health problems. According to McKinsey & Company,
""Studies of young adults and their social media use have shown an inverse relationship between screen time and psychological well-being, with higher utilization associated with poor well-being. Other research indicates the nature of the relationship individuals have with social media can have a greater impact on their mental health than time spent.""3
It is, therefore, crucial to teach Gen Z to self-regulate the amount of time they spend staring at a screen. And just as importantly, we must help them distinguish between real and fake friends and social media accounts and identify and stand up to online bullying and harassment.
Sources
1.	Cuncic, A. (2021, March 25). Why Gen Z Is More Open to Talking About Their Mental Health. Verywell Mind. https://www.verywellmind.com/why-gen-z-is-more-open-to-talking-about-their-mental-health-5104730
2.	Coe, E., Cordina, J., Enomoto, K., Jacobson, R., Mei, S., & Seshan, N. (2022, January 14). Addressing the unprecedented behavioral-health challenges facing Generation Z. McKinsey & Company. https://www.mckinsey.com/industries/healthcare/our-insights/addressing-the-unprecedented-behavioral-health-challenges-facing-generation-z
3.	Coe, E., Doy, A., Enomoto, K., & Healy, C. (2023, April 28). Gen Z mental health: The impact of tech and social media. McKinsey & Company. https://www.mckinsey.com/mhi/our-insights/gen-z-mental-health-the-impact-of-tech-and-social-media
",Kesehatan Mental
4,Fighting the Stigma of Depression,5/3/2023,Rachel Craft,https://www.healthyplace.com/blogs/copingwithdepression/2023/5/fighting-the-stigma-of-depression,"Although our society has come a long way in the treatment and perception of mental illness, there’s no doubt that stigmas surrounding these illnesses are still alive and well. Societal stigma can lead to self-stigma, and both can be very damaging to people with depression. Here we'll discuss common stigmas about depression, why they're problematic, and what you can do to fight them.
Why Stigma Is Dangerous to People with Depression
Due to stigma, depressed people are often seen as “lazy” or “not trying” rather than ill. I once read an article that, to my shock and dismay, asserted that depressed people don’t need medication; they just need to buy a pair of running shoes and get outside more.
On the one hand, it’s understandable that people without depression can’t imagine how debilitating it is. But hearing their misconceptions while you’re suffering from depression can be extremely damaging. It can make you blame yourself for your mental health struggle, thinking it’s the result of a personality flaw rather than a disease. 
Imagine if someone with an ear infection had the same mindset. “This isn’t really a problem. I don’t need antibiotics; I just need to try to be a better person.”
They could “try” until they went deaf, and the infection would still be there. But due to the intangible nature of mental illness, our society struggles to see it for what it is: an illness. 
How to Fight the Stigma of Depression
When I hear people perpetuating myths and stereotypes about depression, I remind myself that it’s an illness, just like an ear infection or fibromyalgia. This reminds me that my condition is not my fault, not a reflection of who I am as a person, and nothing to be ashamed of. 
Seeing my depression as a disease rather than a personality flaw helps it feel less murky and more tangible. Diseases can be treated. I can learn about what causes them and what alleviates them. I can’t change who I am as a person, but I can arm myself with tools to cope with my disease.
Another thing you can do to fight depression stigma is to talk about your mental illness. The more we bottle up our feelings, the more we—and others—see them as something to be ashamed of. Talking openly about depression, on the other hand, helps normalize it.
Of course, talking about depression is easier said than done. It used to be very difficult for me until I started therapy years ago and learned how talking made me feel better. Now, I challenge myself to stay open about my feelings. 
As I’ve grown and learned more about depression stigma, I’ve also become more comfortable speaking up against it. When an acquaintance expressed some misguided opinions on suicide, I gently reminded him that suicide is not the same as euthanasia. When a coworker struggled to understand the difference between depression and laziness, I told him that I have depression and tried to explain what it feels like. 
Did I get through to these people? I don’t know. But I like to think that many people who perpetuate depression stigma have the capacity for compassion and understanding—they just need to learn more about mental illness and the people it affects.
",Kesehatan Mental
5,How to Survive the Holidays with Anxiety and Depression,11/28/2023,Martha Lueck,https://www.healthyplace.com/blogs/toughtimes/2022/11/how-to-survive-the-holidays-with-anxiety-and-depression,"At this time of the year, I usually look forward to the holidays. But there are some years when my holiday spirit seems nonexistent. So far this holiday season, my anxiety and depression have been getting worse. Here are some ways I noticed that I am struggling with my mental health and what I plan on doing about it this month.
3 Signs I Struggle with Holiday Anxiety and Depression
1.	In the morning, I dread being around people. My anxiety is at its highest when I anticipate what the day will bring. Working in retail around the holidays is stressful. I picture the checkout line going out the door and customers yelling at the employees for not having certain items. While some of the days are hard, they are rarely as difficult as I think they will be. Some days, a lot of customers are pleasant. It's mostly the anticipation that stresses me out.
2.	I sleep a lot during the day. Sleeping feels good until I realize that half of my day is gone. Some days, I plan on going to the gym, writing an article, and playing with my dogs. When I don't do any of those things, it is because I sleep too much. Sometimes sleeping is warranted by exhaustion after work. But when it happens for prolonged periods, it makes it difficult to enjoy my life. Thus, it makes my depression worse.
3.	I count down the days until the holidays are over. While many people count down the days until Christmas, I count down the days until they are over. When this happens, I feel guilty because I don't want to ruin anyone else's holiday spirit. So while they enjoy Christmas caroling, I isolate myself in my room and fall asleep.
4 Things I Will Do to Take Care of Myself This Month
1.	I will set simple goals. Part of the reason I dread the holiday season is that I have too much time to think about what could go wrong. By setting goals, I will spend more time focusing on what to accomplish this month. For instance, I would like to work out, publish stories, and hang out with loved ones three times per week. I am already looking forward to working toward these goals.
2.	I will journal every day. One of the best things about journaling is that it helps me process and solve my issues. By doing it every day, I will see patterns for my triggers and behaviors. I will spend at least 15 minutes journaling every day. I will include positive experiences and moments of gratitude. I will also write about a positive holiday memory.
3.	I will attend therapy sessions every week. I recently started seeing a new therapist. So far, she has been very kind and helpful. She validates my feelings while helping me see things from different perspectives. She helps me set and keep realistic goals. Talking to her every week will help me learn how to manage anxiety and depression symptoms better.
4.	I will meditate with autonomous sensory meridian response (ASMR) stimuli. When I am stressed out, I enjoy listening to ASMR sounds. Different sounds and triggers stimulate emotions like relaxation and pleasure. Calming sounds like ocean waves and whispers relax me. My favorite ASMR audio includes positive affirmations, as they reduce both anxiety and depression. I will make an ASMR playlist specifically for holiday anxiety and listen to it for at least half an hour every day.
",Kesehatan Mental
6,"Is My Depression Back, or Is It My Period?",5/5/2020,Meghan Griffith,https://www.healthyplace.com/blogs/recoveringfrommentalillness/2020/5/is-my-depression-back-or-is-it-my-period,"Many people who experience periods also experience depression in the form of mood fluctuations that can range anywhere from frustrating to debilitating. If you're like me and you're in recovery from a mood disorder like depression, these monthly fluctuations can be a real source of fear and hopelessness.
Before I do the math and realize my depressed mood is right on schedule and my period should be arriving any day now, I often get very nervous that I'm experiencing a full-blown depression relapse. I've been doing so much better recently and every month when I start to feel depressed again, I can't help but start to worry that everything is getting seriously bad again. I worry that I'm facing months of depression again when really, this will be over in a day or two.
Validating Period-Related Depression Without Becoming Hopeless
When I first started noticing this pattern of serious depressive symptoms arriving right before my period, I tried to shame them away. I told myself how stupid I was being, that a little hormonal shift could put me back into such a horrible headspace. I told myself it was stupid to be afraid that this depression might be long-lasting this time. I told myself a lot of mean stuff to try to make my period-related depression to go away. Shockingly, that never worked. I've said it before and I'll say it again: shame solves nothing.
Now, I am trying to validate the pain I'm experiencing when it comes to period-related depression without falling into the trap of believing that my depression is back for good, I was never really recovering and everything is hopeless and terrible. This is incredibly hard to do when I'm depressed because my brain automatically goes into a very hopeless mode, but over the years, I have gotten better at gently holding different realities at the same time. It's possible to be genuinely depressed without my major depressive disorder making a full-blown comeback, and it is possible to allow myself to be depressed without giving up on everything.
5 Tips for Coping with Period-Related Depression
1.	Remind yourself it's temporary this time. I know in my experience, my brain resists this knowledge. It tries to scare me by constantly asking ""But what if it's back forever?"" I try to remind myself that if that happens (and that is a big ""if"") then I will deal with it when my depression has lasted more than a few days.
2.	In the meantime, be patient and forgiving. While you wait for your period-related depression to fade, try to give yourself as much patience and forgiveness as possible. I felt so guilty today as I scrolled through social media over and over while my infant son had to entertain himself for most of the day. But I fed him, cuddled him and changed him, and for today, that was enough. You can only do what you can do. Remember that depression really limits your ability to interact with the world around you, and this applies to period-related depression as well.
3.	Try at least one coping mechanism. You don't have to whip out every self-care activity in the book, but you owe it to yourself to try at least one good coping mechanism. If you don't have the energy to color something or go for a walk, try a more low-energy form of self-care, like listening to soothing music or simply sitting in the sun for a little while if that's an option.
4.	Schedule therapy appointments on a schedule that lines up with your period-related depression. If you use therapy to help treat your mental illness, try to schedule appointments so you have a chance to talk to your therapist when you're experiencing period-related depression. Many of us see our therapists once every two weeks, so try to make sure the schedule works so that you have an appointment a few days before your period is supposed to start each month.
5.	Talk to your doctor or therapist about premenstrual dysphoric disorder (PMDD). If your period-related depression has a serious impact on your life, you may want to speak to your doctor or therapist about premenstrual dysphoric disorder (PMDD). This is a disorder recognized by the Diagnostic and Statistical Manual, Fifth Edition (DSM-5) and it is characterized by severe depression, anxiety, or irritability in the week or two before your period that has a significant impact on your functioning or quality of life.
",Kesehatan Mental
7,Anxiety and Bipolar: What It's Like to Have Both?,10/17/2018,Hannah Blum,https://www.healthyplace.com/living-with-bipolar-blog/2018/10/anxiety-and-bipolar-what-its-like-to-have-both,"Anxiety, when you live with bipolar II disorder, accentuates feelings of extreme worry and emphasizes our already existing insecurities. Acknowledging the triggers of anxiety and discussing how it makes those of us with bipolar disorder feel is an essential part of managing our mental health.
Anxiety Triggers When You Live with Bipolar II Disorder
In my experience living with bipolar II disorder, stress and periods of uncertainty trigger my anxiety. It affects my work, relationships and even friendships, periodically.
When I was in school, elementary through college, anxiety was ever-present (read more about school anxiety). I struggled academically, and the pressure to follow the standard curriculum of academics made me feel inadequate. I could be doing an assignment and anxiety would make me physically ill; to the point that I had to be excused from the classroom. Then there were exams which would trigger bouts of severe anxiety. In the days before taking an exam, I could not sleep or eat. Depressive episodes would suddenly appear that left me isolated in my room. It didn't matter how much I studied before a test; the emotional extremes would prevent me from being able to focus on the material.
What Anxiety Feels Like When You Have Bipolar II
Anxiety makes those of us with bipolar II feel alone. It can keep us from doing things that many people do not consider hard, such as grocery shopping. It feels like a roadblock that prevents me from accomplishing my goals. Anxiety emphasizes my fears of failure and disappointment which leads to self-doubt. It acts like a bully inside my head and makes me question everything from what I say to what I wear. The overthinking and over-analyzing elements of a situation are exhausting and unhealthy.
Thoughts and questions race through my mind at a higher speed. It feels like I have to accomplish everything all at once and improve myself overnight, which is impossible. However, over time and with experience, I have realized the power of ""letting go"". Self-help books, such as, ""You Are a Badass: How to Stop Doubting Your Greatness and Starting Living an Awesome Life"" by Jen Sincero, have helped me cope with anxiety.
I have no control over the way people perceive me and the outcome of certain situations. For me, that's difficult to accept, but necessary for living a good life with bipolar II disorder. Prioritizing projects and focusing on one realistic goal at a time makes me feel less anxious as well.
Anxiety can be debilitating for many of us living with bipolar II disorder, but with hard work and patience, it can be less extreme. We cannot erase anxiety from our lives with bipolar, but we can learn how to manage it. Opening up about the way it makes us feel and sharing different anxiety coping skills and ways of dealing with those extreme emotions is beneficial for all of us living with bipolar disorder.
",Kesehatan Mental
8,Self-Care in 30 Seconds or Less,3/31/2021,George Abitante,https://www.healthyplace.com/blogs/treatinganxiety/2021/3/self-care-in-30-seconds-or-less,"	I've learned how to self-care in 30 seconds or less because the last few months have been really hectic for me. I've been getting up to speed on several projects in my Ph.D. program, learning new statistical techniques, keeping up with coursework, and it's been really tough to build in time to focus on my own wellbeing. For me, it's been difficult having most of my work time at home because I really like working in a designated workspace and just using my home as a place to relax, so having my work and relaxation spaces completely overlap has made it even more difficult to create a space for self-care for 30 seconds or any other length of time.
This combination of work responsibilities and little delineation between work and relaxation has left me feeling like I don't get to relax much, even though I'm able to do activities I enjoy. My solution so far has been to build moments of relaxation into my workday so that I can rejuvenate myself regularly instead of trying to do it all at once at the end of the day.
I've found it really helpful to find activities that I consider calming and rejuvenating that can also be completed within 30 seconds or so. This allows me to stay engaged in my workday while also creating moments to build myself up, even on the busiest days. So today, I'd like to share with you what that process has been like and give a few tips about how you can incorporate 30 seconds or less of self-care into your day. 
30 Second Self-Care at Work
My journey towards 30-second-or-less self-care sessions began when I noticed that I wasn't regularly getting to the big things I wanted to be doing to take care of myself. I was struggling to incorporate some structured self-care activities into my days that I could do on a regular basis on a standard schedule. Unfortunately, my schedule varies a fair bit from week to week, so having a regular time to exercise or do other time-intensive activities was really hard for me to find.
I kept trying to commit to more than I could realistically do, and this felt like a perpetual wheel of setting a schedule and then not sticking to it. What I realized eventually was that I needed to find something more manageable that I could do at a regular time even when my schedule changed, and this prompted me to commit to something simple but enjoyable: five deep breaths.
This may sound a bit silly, but for me, taking just a few deep breaths does so much to help me reset and recharge, even when I'm having a tough day. So I set a daily reminder for myself at noon to take five deep breaths, and I noticed pretty quickly that this was an activity I could actually do on a regular basis and was simple enough that I could do it regardless of what else was going on. Whether I was in class, talking in a meeting, or working on a project, I could always take those five deep breaths without it interrupting what I was doing.
For me, taking those five deep breaths was more about giving myself a structured, intentional couple of moments of my day that I knew were focused on cultivating my health and wellness. Even though it wasn't a lot of time, it gave me a sense of calm and accomplishment and also made it easier for me to use deep breathing at other times when something stressful came up.
I am now starting to add to this schedule, incorporating more planned deep breathing into the morning and afternoon, and I'm excited to see how building on this practice will benefit me. Below, I share a few ideas that can help you get started with your own 30-second-or-less self-care routine.
Creating your 30-Second Self-Care Routine
1.	Identify your needs. The process I described above came about because I realized I wanted more structure in my day and needed an activity that I could do easily even when my schedule switched up on me. What you want out of your self-care routine may be completely different from mine, so the type of activity you do may vary. So, to start, think about what you actually want to achieve with your self-care activity, and this will shape how you actually implement it. 
2.	Commit. Realistically assessing how reliably you can do your self-care activity is a really important part of the process. My earlier attempts left me feeling inept and tired because I wasn't able to do them as regularly as I wanted, and that ended up draining me more than it contributed to my wellbeing. Make sure the activity you choose is sustainable, and if it turns out to be too much, find a different one or adapt it so that it can be. 
3.	Build. Once you're comfortable with the regular practice you're doing, you can add to it as wanted/needed. In my case, I still want to have more instances of deep breathing during the day, so I'm adding a morning and afternoon reminder to my practice. You might increase how long you engage in your activity, increase how many days a week you do it, or augment it in some other way to improve the benefits you get out of it. 
",Kesehatan Mental
9,Rasanya Bekerja Dengan Depresi,12/20/2018,dhani,https://medium.com/@arman-dhani/rasanya-bekerja-setelah-depresi-72c912e822aa,"Seminggu yang lalu akhirnya saya ke psikolog lagi. Yeaaay. Hehehe. Mungkin buat kalian ini hal yang aneh. Ke psikolog kok senang, tapi bagi saya yang susah sekali ngomong, bicara dan membahas tentang kondisi depresi yang saya alami, bertemu dokter adalah kemewahan yang ngga bisa saya jelaskan.
Kenapa saya ketemu dokter lagi? Jadi ceritanya saya sudah delapan bulan ngga konsultasi atau konseling. Terakhir Saya merasa bahwa ngga perlu konsultasi lagi. Saya sedikit mendingan, trauma interaksi dengan orang, atau menghadapi kerja sehari-hari jadi lebih baik. Intinya sejak 8 bulan lalu saya membaik secara mental. Hanya belakangan saya pelan-pelan kembali ke kondisi cemas, takut, dan mudah panik. Pemicunya karena merasa takut sendirian. Hehehe, agak konyol memang. Sendiri? Lha temen banyak, grup wasap bejibun, temen nongkrong ada, kok merasa sendirian? Saya ngga mau manja, ini mungkin cuma selewat aja.
Saya berusaha meyakinkan diri ini bukan depresi, paling cuma malas. Bukan kecemasan, hanya khawatir biasa. Saya ngga mau mensugesti diri kalau saya ini depresi lagi. Saya kapok ngga bisa kerja, cuma nangis dan diam aja. Saya mau jadi manusia yang sehat, berfungsi normal. Tapi ngga bisa. Susah sekali. Saya nyaris dua minggu tidak bekerja dan hanya bisa terbaring di kamar. Menangis, ngga makan, dan susah tidur. Saya juga punya kecenderungan ngga mau ngerepotin orang. Kalau saya cerita depresi saya muncul lagi, teman-teman saya akan khawatir dan mereka akan ekstra direpotkan dengan perasaan-perasaan saya yang kadang ngga masuk akal. Untuk itu supaya ngga curiga kalau saya kenapa-kenapa ya buka media sosial. Buka instagram lalu pamer-pamer.
Lho kok depresi malah pamer? Entah mengapa saya punya dorongan aneh. Jika saya buka media sosial atau memposting kondisi sendiri tentu akan jadi aneh. Semacam minta dikasihani. Jadi saya berusaha mensugesti diri bahwa saya sedang baik-baik saja. Memposting foto makanan dari berbulan-bulan lalu, foto sepatu, atau bahkan pemandangan. Tapi kali ini udah ngga tahan lagi. Ini subuh dan saya bingung mau cerita pada siapa dan kepala saya seperti ditaruh di balok es yang keras. Seluruh pundah saya menegang dan rasanya seperti sedang memikul beras bulog yang kalau dimasak rasanya ngga enak.
Orang tentu ngga akan mengira bahwa saya sedang cemas atau takut. Cemas kok pamer jordan, takut kok pamer sepatu? Intinya orang akan berpikir sebaliknya dengan apa yang saya alami. Mungkin cuma itu satu-satunya cara agar mereka tak khawatir atau tak peduli. Kondisi saya memburuk sejak pacar saya ke Taiwan. Kami berpisah dan lumayan berat buat saya untuk ngga sama dia. Selama ini saya selalu mengandalkan dia untuk bisa berfungsi sehari-hari. Dulunya saya pikir kalau kami pisah, saya akan baik-baik saja. Nyatanya tidak. Kondisi saya terus memburuk dan memburuk. Saya jadi kurang berinteraksi bersama teman. Jarang main, jarang wasap, jarang membalas pesan, menghabiskan banyak waktu di media sosial, dan yang paling buruk bisa berhari-hari tidak keluar kamar. Kadang nangis, kadang diem aja kaya mayat. Kondisi ini benar-benar bikin saya ngga bisa fungsi normal.
Untungnya saya punya kantor dengan jam kerja fleksibel. Tapi ya ngga enak juga dua minggu kerjanya minimal, berantakan dan ngga bagus. Saya jadi mikir, gimana perusahaan lain memperlakukan karyawan mereka yang mempunyai gangguan kesehatan mental? Apakah mereka akan memberikan toleransi serupa atau akan langsung kasih SP3?
Di kantor saya juga diberi kemudahan biaya konseling psikologis. Sesuatu yang tak pernah saya temukan sebelumnya. Selama ini belum ada asuransi yang mengover kesehatan mental. Jadi merasa beruntung juga. Meski kadang suka ngga enak, karena punya bos dan rekan kerja yang demikian baik. Saya ngga bisa cerita tentang konseling yang saya lakukan. Hanya saja, belakangan durasi tidur saya makin pendek dan susah tidur di atas jam 3 pagi. Saya ngga tahu cara mengatasinya. Mungkin saya perlu minum obat atau mungkin harus olahraga lagi. Malam ini saya susah tidur lagi. Oh iya, jika kamu mengalami hal yang serupa, merasa takut, cemas, dan ngga berharga. Jangan takut. Kamu ngga sendirian. Kita sama-sama coba hadapi ini. Kamu dengan caramu, saya dengan entah apa. Yang jelas kamu dan saya sama-sama berharga. Hehe. gitu.
",Kesehatan Mental
10,"Pengalaman, Kesehatan Mental dan Hewan Peliharaan",12/12/2019,Tiara Afwani,https://medium.com/@tiaraafwani/kesehatan-mental-1be1e8dd08ca,"Disclaimer: saya bukan ahli di bidang psikologis, sekedar berbagi pengalaman pribadi.
Dulu saya terheran-heran dengan orang-orang yang tinggal bersama hewan peliharaan di rumahnya (terutama hewan berbulu). Saya tidak benci hewan, sekedar biasa-biasa saja. Yang saya bayangkan bulu berterbangan dan kotoran dimana-mana. Apalagi sampai dicium-cium dan tidur di kasur yang sama. Pandangan saya berubah setelah (tidak direncanakan) saya memilihara seekor kelinci.
Bermula dari kondisi mental saya yang saat itu sedang buruk dan merasa kesepian. Perasaan sedih sering menghampiri, ditambah kesepian yang membuat tangis saya menjadi-jadi. Dalam pikiran saat itu, saya tidak mempercayai manusia-manusia lain.
Pada suatu hari saya menghadiri family gathering di sebuah kawasan pariwisata di luar kota. Dan saya jatuh hati dengan seekor kelinci yang paling lincah diantara teman-temannya. Diajak pulanglah dia, dan dinamakan Cimol. (tidak disarankan membawa hewan peliharaan tanpa persiapan terlebih dulu). “Asyik punya teman saat sedih”, begitu pikirku.
Diluar dugaan, Cimol ini seperti tahu saat saya sedih Dia menghampiri. Pikiran-pikiran buruk saya teralihkan oleh sentuhan kaki mungilnya. Saya mengusap-usap kepala Cimol sampai giginya bergemeletuk sebagai tanda suka.
Saya yang semula sama sekali tidak memperhatikan diri sendiri dan lebih banyak tidur untuk lari dari kenyataan, perlahan dipaksa untuk bangun pagi. Cimol mengetuk-ngetuk pintu kamar, meminta sarapan. Suara ketukannya yang cukup berisik memaksa saya bangun karena khawatir orang lain terganggu. Jadilah saya tidak tidur lagi. Saya sadar dengan kewajiban menyiapkan makanannya 3 kali sehari, jadilah saya mulai sadar waktu pagi, siang, dan malam setiap harinya.
Perlahan hari saya tidak monoton. Saya memberanikan diri menyalakan gawai yang sudah cukup lama tidak aktif. Untuk apa? sekedar memesan online persedian makanan Cimol yang hampir habis atau mencari tahu cara memilihara kelinci. Dari situ saya mulai membalas beberapa pesan teman dan sepupu saya yang menanyakan kabar. Meski jawaban saya singkat, setidaknya sudah ada kabar. Meski setengah hari saya masih bertanya, apakah siap untuk berhubungan sosial dengan manusia lain.
Saya melihat-lihat komunitas penghobi kelinci di internet, perlahan saya merasa menemukan tempat baru dan menemukan manusia lain yang memiliki kesamaan dengan saya. Sekarang saya menjadi orang yang dulu saya herankan memilihara hewan dirumah. Merasa disayangi saat Cimol menjilat-jilat kaki, tangan, bahkan leher saya. Terima kasih Cimol yang perlahan mewarnai hidup saya. I love you more then the words can say.
",Kesehatan Mental
